ipv4,ipv6,country,region,city,latitude,longitude,serverid,servername,useragent,connectiontype,ispname,ispnameraw,download_kbps,upload_kbps,ping_ms,jitter,testid,resultDate,local_time,download_mbps,upload_mbps,isp
221.132.9.0,,Vietnam,,,16.17,107.83,72434,Tam Ky,SAFARI,,Vinaphone,VNPT,62967.0,,29,60,18389917-561a-bb8d-ij9b-7fgbb6fhb9j8,2025-10-24 14:10:14+00:00,2025-10-24 21:10:14+07:00,62.967,,VNPT
116.110.227.0,,Vietnam,Ho Chi Minh,,10.82,106.63,72434,Tam Ky,Chrome,,Viettel,Viettel Group,57492.0,,41,20,18389931-339a-bb8d-ij9d-1ddjj3dbd9j8,2025-10-24 14:13:16+00:00,2025-10-24 21:13:16+07:00,57.492,,Viettel Group
116.98.249.0,,Vietnam,Thua Thien Hue,Huế,16.47,107.6,72434,Tam Ky,CHROME,,Viettel,Viettel Group,18842.0,,88,126,18389970-706a-bb8d-ij9h-0hagg0hah9j8,2025-10-24 14:22:28+00:00,2025-10-24 21:22:28+07:00,18.842,,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,318886.0,320529.0,2,0,18390001-249a-bb8d-ja0a-1cejj4cba0a9,2025-10-24 14:29:42+00:00,2025-10-24 21:29:42+07:00,318.886,320.529,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,92481.0,92680.0,3,1,18390019-454a-bb8d-ja0b-9efee5ejb0a9,2025-10-24 14:34:01+00:00,2025-10-24 21:34:01+07:00,92.481,92.68,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,254393.0,318791.0,6,0,18390050-868a-bb8d-ja0f-0igii6iaf0a9,2025-10-24 14:41:26+00:00,2025-10-24 21:41:26+07:00,254.393,318.791,Viettel Group
27.71.162.0,,Vietnam,Quang Nam Province,Phu Loc,15.8,108.18,72434,Tam Ky,Chrome,,Viettel,Viettel Group,203611.0,82494.0,7,0,18390054-709a-bb8d-ja0f-4hajj0hef0a9,2025-10-24 14:42:20+00:00,2025-10-24 21:42:20+07:00,203.611,82.494,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,279255.0,30878.0,6,0,18390080-024a-bb8d-ja0i-0acee2aai0a9,2025-10-24 14:48:06+00:00,2025-10-24 21:48:06+07:00,279.255,30.878,Viettel Group
209.58.191.0,,Hong Kong,,Hong Kong,22.28,114.15,72434,Tam Ky,Chrome,,Leaseweb Hong Kong,Leaseweb Hong Kong,181615.0,85468.0,75,0,18390080-400a-bb8d-ja0i-0eaaa0eai0a9,2025-10-24 14:48:12+00:00,2025-10-24 21:48:12+07:00,181.615,85.468,Leaseweb Hong Kong
,2401:d800:f5bd::,Vietnam,Ho Chi Minh,Ho Chi Minh City,10.75,106.67,72434,Tam Ky,SAFARI,,Viettel,Viettel Group,76904.0,19558.0,36,37,18390087-037a-bb8d-ja0i-7adhh3ahi0a9,2025-10-24 14:49:45+00:00,2025-10-24 21:49:45+07:00,76.904,19.558,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,290849.0,315841.0,11,0,18390088-344a-bb8d-ja0i-8deee4dii0a9,2025-10-24 14:50:03+00:00,2025-10-24 21:50:03+07:00,290.849,315.841,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,312011.0,311624.0,4,1,18390102-778a-bb8d-ja1a-2hhii7hca1a9,2025-10-24 14:53:22+00:00,2025-10-24 21:53:22+07:00,312.011,311.624,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,309445.0,318886.0,7,0,18390123-025a-bb8d-ja1c-3acff2adc1a9,2025-10-24 14:58:02+00:00,2025-10-24 21:58:02+07:00,309.445,318.886,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,17106.0,15320.0,3,3,18390123-838a-bb8d-ja1c-3idii3idc1a9,2025-10-24 14:58:13+00:00,2025-10-24 21:58:13+07:00,17.106,15.32,Viettel Group
,2001:ee0:290::,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,SAFARI,,Vinaphone,VNPT,66006.0,22696.0,39,10,18390146-063a-bb8d-ja1e-6agdd6age1a9,2025-10-24 15:03:27+00:00,2025-10-24 22:03:27+07:00,66.006,22.696,VNPT
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,CHROME,,Viettel,Viettel Group,36380.0,,6,5,18390167-935a-bb8d-ja1g-7jdff3jhg1a9,2025-10-24 15:08:41+00:00,2025-10-24 22:08:41+07:00,36.38,,Viettel Group
,2402:800:6236::,Vietnam,Quang Nam Province,Gia Phuoc,15.63,108.38,72434,Tam Ky,Chrome,,Viettel,Viettel Group,632295.0,320473.0,4,0,18390172-901a-bb8d-ja1h-2jabb0jch1a9,2025-10-24 15:09:50+00:00,2025-10-24 22:09:50+07:00,632.295,320.473,Viettel Group
27.70.152.0,,Vietnam,Thua Thien Hue,Hương Trà,16.48,107.58,72434,Tam Ky,Chrome,,Viettel,Viettel Group,15871.0,7506.0,36,31,18390178-618a-bb8d-ja1h-8gbii1gih1a9,2025-10-24 15:11:08+00:00,2025-10-24 22:11:08+07:00,15.871,7.506,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,CHROME,,Viettel,Viettel Group,77498.0,,14,10,18390205-616a-bb8d-ja2a-5gbgg1gfa2a9,2025-10-24 15:17:19+00:00,2025-10-24 22:17:19+07:00,77.498,,Viettel Group
