"resultDate","ipAddress","ipv6 address","country","region","city","latitude","longitude","serverId","serverName","userAgent","connectionType","ispName","ispNameRaw","download (Kbps)","upload (Kbps)","ping (ms)","jitter","testId"
"2025-10-24T14:29:42.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","318886.00","320529.00",2,0,"18390001-249a-bb8d-ja0a-1cejj4cba0a9"
"2025-10-24T14:22:28.000Z","116.98.249.0",,"Vietnam","Thua Thien Hue","Huế",16.47,107.6,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","18842.00","n/a",88,126,"18389970-706a-bb8d-ij9h-0hagg0hah9j8"
"2025-10-24T14:13:16.000Z","116.110.227.0",,"Vietnam","Ho Chi Minh",,10.82,106.63,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","57492.00","n/a",41,20,"18389931-339a-bb8d-ij9d-1ddjj3dbd9j8"
"2025-10-24T14:10:14.000Z","221.132.9.0",,"Vietnam",,,16.17,107.83,72434,"Tam Ky","SAFARI","n/a","Vinaphone","VNPT","62967.00","n/a",29,60,"18389917-561a-bb8d-ij9b-7fgbb6fhb9j8"
"2025-10-24T14:01:35.000Z",,"2402:800:62ee::","Vietnam","Quang Nam Province","Thanh Son",15.68,108.33,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","53591.00","79084.00",6,2,"18389879-732a-bb8d-ij8h-9hdcc3hjh8j8"
"2025-10-24T13:59:15.000Z",,"2402:800:6236::","Vietnam","Quang Nam Province","Dong Son",15.65,108.27,72434,"Tam Ky","Opera","n/a","Viettel","Viettel Group","44383.00","45805.00",5,1,"18389869-378a-bb8d-ij8g-9dhii7djg8j8"
"2025-10-24T13:58:50.000Z",,"2402:800:62ee::","Vietnam","Quang Nam Province","An Loc",15.77,108.28,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","67388.00","20981.00",5,1,"18389867-632a-bb8d-ij8g-7gdcc3ghg8j8"
"2025-10-24T13:56:42.000Z","113.185.109.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","Chrome","n/a","Vinaphone","VNPT","5359.00","n/a",36,29,"18389858-400a-bb8d-ij8f-8eaaa0eif8j8"
"2025-10-24T13:44:02.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","139117.00","27537.00",4,0,"18389803-408a-bb8d-ij8a-3eaii0eda8j8"
"2025-10-24T13:28:12.000Z","116.98.249.0",,"Vietnam","Thua Thien Hue","Huế",16.47,107.6,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","14732.00","n/a",17,18,"18389736-396a-bb8d-ij7d-6djgg9dgd7j8"
